ID	sex	BS	mom	sire	DOB	DOD	pot_sire	pot_mom	full_generations	min_f
A	f	1905	unkn_f	unkn_m	1-1-1900	0-0-0	NA	NA	1	0.000000000000000
B	f	1911	A	unkn_m	1-1-1911	0-0-0	NA	NA	1	0.000000000000000
C	m	1912	unkn_f	unkn_m	1-1-1912	0-0-0	NA	NA	1	0.000000000000000
D	f	1913	A	unkn_m	1-1-1913	0-0-0	NA	NA	1	0.000000000000000
E	f	1914	A	unkn_m	1-1-1914	0-0-0	NA	NA	1	0.000000000000000
F	m	1915	unkn_f	unkn_m	1-1-1915	0-0-0	NA	NA	1	0.000000000000000
G	m	1920	B	unkn_m	1-1-1920	0-0-0	NA	NA	1	0.000000000000000
H	f	1921	D	C	1-1-1921	0-0-0	NA	NA	2	0.000000000000000
I	m	1922	E	F	1-1-1922	0-0-0	NA	NA	2	0.000000000000000
J	m	1923	E	F	1-1-1923	0-0-0	NA	NA	2	0.000000000000000
K	m	1928	H	G	1-1-1928	0-0-0	NA	NA	2	0.031250000000000
L	f	1929	H	I	1-1-1929	0-0-0	NA	NA	3	0.031250000000000
