temperature	new_r_diff	current_r_diff	swapped
14.3783	320.942	321.168	1
14.364	322.463	320.942	1
14.3496	322.792	322.463	1
14.3352	324.25	322.792	1
14.3209	318.558	324.25	1
14.3066	311.602	318.558	1
14.2923	304.723	311.602	1
14.278	297.441	304.723	1
14.2637	298.691	297.441	1
14.2494	291.815	298.691	1
14.2352	289.51	291.815	1
14.221	282.162	289.51	1
14.2067	277.336	282.162	1
14.1925	278.257	277.336	1
14.1783	276.107	278.257	1
14.1642	279.463	276.107	1
14.15	277.092	279.463	1
14.1358	269.546	277.092	1
14.1217	262.774	269.546	1
14.1076	268.883	262.774	1
14.0935	274.649	268.883	1
14.0794	280.512	274.649	1
14.0653	282.466	280.512	1
14.0512	282.216	282.466	1
14.0372	287.353	282.216	1
14.0232	286.991	287.353	1
14.0091	293.008	286.991	0
13.9951	288.931	286.991	1
13.9811	284.506	288.931	1
13.9671	281.088	284.506	1
13.9532	275.044	281.088	1
13.9392	273.646	275.044	1
13.9253	273.115	273.646	1
13.9114	278.867	273.115	0
13.8974	270.939	273.115	1
13.8836	274.947	270.939	0
13.8697	263.373	270.939	1
13.8558	269.566	263.373	1
13.8419	265.029	269.566	1
13.8281	265.54	265.029	1
13.8143	263.915	265.54	1
13.8005	265.048	263.915	1
13.7867	271.922	265.048	1
13.7729	279.43	271.922	1
13.7591	279.187	279.43	1
13.7453	278.23	279.187	1
13.7316	277.395	278.23	1
13.7179	275.455	277.395	1
13.7041	276.01	275.455	1
13.6904	270.812	276.01	1
13.6767	271.433	270.812	1
13.6631	267.974	271.433	1
13.6494	269.372	267.974	1
13.6358	261.739	269.372	1
13.6221	266.741	261.739	1
13.6085	269.631	266.741	1
13.5949	268.391	269.631	1
13.5813	270.449	268.391	0
13.5677	269.817	268.391	1
13.5541	275.7	269.817	1
13.5406	281.496	275.7	0
13.5271	274.207	275.7	1
13.5135	273.334	274.207	1
13.5	280.717	273.334	1
13.4865	285.897	280.717	1
13.473	283.897	285.897	1
13.4596	277.229	283.897	1
13.4461	284.342	277.229	1
13.4326	285.839	284.342	1
13.4192	284.339	285.839	1
13.4058	284.816	284.339	1
13.3924	288.952	284.816	1
13.379	284.472	288.952	1
13.3656	284.791	284.472	1
13.3523	282.588	284.791	1
13.3389	281.081	282.588	1
13.3256	281.885	281.081	1
13.3122	283.897	281.885	1
13.2989	290.636	283.897	0
13.2856	279.189	283.897	1
13.2723	277.658	279.189	1
13.2591	277.158	277.658	1
13.2458	278.99	277.158	1
13.2326	273.92	278.99	1
13.2193	277.725	273.92	1
13.2061	280.118	277.725	1
13.1929	278.757	280.118	1
13.1797	272.434	278.757	1
13.1665	278.354	272.434	0
13.1534	266.37	272.434	1
13.1402	266.227	266.37	1
13.1271	263.977	266.227	1
13.1139	270.041	263.977	0
13.1008	257.571	263.977	1
13.0877	264.313	257.571	1
13.0746	269.819	264.313	1
13.0616	269.944	269.819	1
13.0485	269.791	269.944	1
13.0355	269.583	269.791	1
13.0224	267.529	269.583	1
13.0094	267.926	267.529	1
12.9964	267.851	267.926	1
12.9834	268.796	267.851	1
12.9704	268.899	268.796	1
12.9574	274.569	268.899	1
12.9445	279.145	274.569	0
12.9315	274.097	274.569	1
12.9186	279.565	274.097	0
12.9057	272.836	274.097	1
12.8928	266.177	272.836	1
12.8799	265.802	266.177	1
12.867	262.927	265.802	1
12.8541	269.004	262.927	0
12.8413	262.927	262.927	1
12.8284	264.982	262.927	1
12.8156	268.065	264.982	0
12.8028	268.161	264.982	1
12.79	268.922	268.161	1
12.7772	267.047	268.922	1
12.7644	271.372	267.047	0
12.7517	261.867	267.047	1
12.7389	265.617	261.867	1
12.7262	260.608	265.617	1
12.7135	257.347	260.608	1
12.7007	260.298	257.347	1
