AAAA	m	1950	unknown	unknown	1950-11-16	NA	NA	NA
AAAB	f	1950	unknown	unknown	1950-05-18	NA	NA	NA
AAAC	f	1950	unknown	unknown	1950-11-15	NA	NA	NA
AAAD	f	1950	unknown	unknown	1950-06-22	NA	NA	NA
AAAE	m	1950	unknown	unknown	1950-02-28	1957-08-15	NA	NA
AAAF	m	1950	unknown	unknown	1950-03-28	1957-04-22	NA	NA
AAAG	m	1950	unknown	unknown	1950-04-05	NA	NA	NA
AAAH	f	1950	unknown	unknown	1950-10-11	NA	NA	NA
AAAI	f	1950	unknown	unknown	1950-10-07	NA	NA	NA
AAAJ	f	1950	unknown	unknown	1950-12-07	NA	NA	NA
AAAK	m	1950	unknown	unknown	1950-12-27	1958-06-14	NA	NA
AAAL	f	1950	unknown	unknown	1950-05-22	NA	NA	NA
AAAM	m	1950	unknown	unknown	1950-08-08	NA	NA	NA
AAAN	f	1950	unknown	unknown	1950-04-04	NA	NA	NA
AAAO	f	1950	unknown	unknown	1950-10-10	NA	NA	NA
AAAP	f	1950	unknown	unknown	1950-08-22	NA	NA	NA
AAAQ	m	1950	unknown	unknown	1950-12-09	NA	NA	NA
AAAR	f	1950	unknown	unknown	1950-10-15	1955-12-15	NA	NA
AAAS	m	1950	unknown	unknown	1950-12-08	1956-08-26	NA	NA
AAAT	m	1950	unknown	unknown	1950-11-06	1955-12-20	NA	NA
AAAU	f	1955	AAAN	unknown	1955-01-23	1956-09-16	NA	NA
AAAV	f	1955	AAAL	AAAK	1955-05-01	1957-07-26	NA	NA
AAAW	f	1955	AAAJ	AAAA	1955-11-10	1956-12-04	NA	NA
AAAX	m	1955	AAAP	AAAG	1955-09-06	1955-10-22	NA	NA
AAAY	f	1955	AAAC	AAAM	1955-01-19	1955-09-06	NA	NA
AAAZ	f	1955	AAAH	AAAS	1955-05-16	1955-10-07	NA	NA
AABA	m	1956	AAAH	AAAF	1956-09-18	1959-10-03	NA	NA
AABB	m	1956	AAAC	AAAQ	1956-10-10	1956-12-21	NA	NA
AABC	f	1956	AAAD	unknown	1956-06-19	1957-10-19	NA	NA
AABD	m	1956	AAAJ	unknown	1956-11-24	1956-12-22	NA	NA
AABE	f	1956	AAAP	unknown	1956-10-03	1956-11-23	NA	NA
AABF	f	1956	AAAO	AAAQ	1956-12-28	1956-12-28	NA	NA
AABG	m	1956	AAAN	AAAE	1956-10-24	1958-11-03	NA	NA
AABH	m	1956	AAAB	unknown	1956-03-10	NA	NA	NA
AABI	f	1956	AAAL	AAAK	1956-03-27	1957-12-02	NA	NA
AABJ	f	1956	AAAI	AAAM	1956-12-05	1956-12-05	NA	NA
AABK	f	1957	AAAP	AAAA	1957-09-08	1957-10-14	NA	NA
AABL	m	1957	AAAC	AAAQ	1957-03-10	1957-11-24	NA	NA
AABM	m	1957	AAAI	AAAG	1957-08-08	1957-10-18	NA	NA
AABN	m	1957	AAAN	AAAM	1957-01-01	1958-07-18	NA	NA
AABO	f	1957	AAAB	AAAG	1957-03-01	1957-12-25	NA	NA
AABP	f	1957	AAAH	unknown	1957-02-10	1958-09-14	NA	NA
